No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
85,CALI,BUENAVENTURA,Antonio Nariño - Bureau Veritas - Pampalinda - Porvenir - San Martin,310,1386,Vivienda,EKOFIL,Consejo comunitario ,Comunidad Afro - JAC ,,,3/12/2024,2024,FGA,Rocio Quiñonez - Celsia 
86,TULUA,SEVILLA,El Jardin + I.E.,19,76,Vivienda,EKOFIL,Campesinos,,,,5/06/2025,2025,FGA,Yustin Valencia - Celsia
87,TULUA,SEVILLA,El Purnio + I.E.,20,74,Vivienda,EKOFIL,Campesinos,,,,5/06/2025,2025,FGA,Yustin Valencia - Celsia
88,CARTAGO,ARGELIA,Tarritos,40,-,Vivienda,EKOFIL,Campesinos,,,,2025,2025,FGA,Yustin Valencia - Celsia
90,CARTAGO,ARGELIA,Maracaibo,47,-,Vivienda,EKOFIL,Campesinos,,,,2025,2025,FGA,Yustin Valencia - Celsia
91,CALI,BUENAVENTURA,Barrio Doña Ceci,2,30,Institucion Educativa ,EKOFIL,Consejo comunitario ,Comunidad Afro ,Ancianato San José,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
92,CALI,BUENAVENTURA,Barrio El Jorge,20,1537,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Francisco José de Caldas,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
93,CALI,BUENAVENTURA,Barrio El Jorge,4,90,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Francisco José de Caldas,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
94,CALI,BUENAVENTURA,Barrio Doña Ceci,12,384,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Nuestra señora consoladora del Carpinello,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
95,CALI,BUENAVENTURA,Pr 23 - Sector La Esperanza,2,12,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Empresa Kinsia Té,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
96,CALI,BUENAVENTURA,Barrio La Transformación,15,1270,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Termarit sede principal,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
97,CALI,BUENAVENTURA,Barrio El Progreso,6,90,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Termarit sede el progreso,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
98,CALI,BUENAVENTURA,Barrio Doña Ceci,20,1200,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa San Vicente,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
99,CALI,BUENAVENTURA,Barrio Transformación,30,1265,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Liceo Del Pacífico,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
100,CALI,BUENAVENTURA,Barrio El Cristal,20,2513,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Normal Juan Ladrellero,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
101,CALI,BUENAVENTURA,Barrio Santa Fe,17,1200,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La anunciación sede principal,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
102,CALI,BUENAVENTURA,Barrio El Oriente,12,250,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa la anunciación sede Liceo Mayor Latino,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
103,CALI,BUENAVENTURA,Barrio San Luis,5,150,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La Anunciación Sede Diego Luis Cordoba,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
104,CALI,BUENAVENTURA,Barrio La Transformación,5,140,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La Anunciación sede Misioneros del Saber - PPL (Carcel),,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
105,CALI,BUENAVENTURA,Barrio Centro,20,688,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa San Rafael,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
106,CALI,BUENAVENTURA,Barrio Centro,1,18,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa sede feder Byte,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
107,CALI,BUENAVENTURA,Avenida Simón Bolívar - Doña Ceci,11,981,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano sede Central,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
108,CALI,BUENAVENTURA,CONTINENTE,10,252,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Alfonso López Pumarejo,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
109,CALI,BUENAVENTURA,CONTINENTE,11,310,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Estela Delgado de Navia,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
110,CALI,BUENAVENTURA,CONTINENTE,11,321,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Gerardo Valencia Cano,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
111,CALI,BUENAVENTURA,CONTINENTE,6,123,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede de enero,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
112,CARTAGO,EL DOVIO,EL DIAMANTE,31,124,Vivienda,EKOFIL,Campesinos,,,,11/09/2025,2025,ALCALDIA,Marco Gonzales - ARO Cartago
113,TULUA,RESTREPO,EL AGRADO,56,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
114,TULUA,RESTREPO,ROMAN,27,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
115,TULUA,RESTREPO,AGUALINDA BAJO,9,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
116,TULUA,RESTREPO,AGUALINDA ALTO ,12,#¡REF!,Vivienda,EKOFIL,Campesinos,NA,,,10/10/2025,2025,ROTARY,George Rivera - Rotary
